DTYPE,id,cost,dataEntryString,gpUnit,gpValue,name,rarity,roll,weight,weightUnits,addDamageType,addMultiple,additionalDie,averageDmgPerTurn10K,baseDie,baseMulti,info,mainDamageType,mainDie,mainMultiple,variance,weaponType,meleeWeapon,rangedWeapon
SimpleRangeWeapon,1,1,,1,0.00999999977648258,Scrap Sling,0,,0.0,lbs,7,0,0,1.0,1,1,Ammunition (range 30/120),1,0,1,0.005938005041762,1,,3
MartialMeleeWeapon,2,18,,2,18.0,Valuable Necrotic Whip,2,,3.0,lbs,6,1,0,2.9955,1,1,"Finesse, reach",11,1,1,0.964820994092885,2,17,
SimpleMeleeWeapon,3,37,,2,37.0,Rare Thunder Spear,3,,3.0,lbs,12,3,1,14.0333,2,1,"Thrown (range 20/60), versatile (1d8)",7,3,2,1.574230434661,0,9,
SimpleRangeWeapon,4,165,,0,0.0164999995831749,Renowned Thunder Dart,4,,0.25,lbs,12,2,1,13.0149,1,1,"Finesse, thrown (range 20/60)",7,2,3,2.52949367420383,1,,1
SimpleMeleeWeapon,5,165,,2,165.0,Outstanding Fire Handaxe,4,,2.0,lbs,3,2,2,17.9501,2,1,"Light, thrown (range 20/60)",11,3,3,2.95996488784687,0,3,
SimpleMeleeWeapon,6,9,,2,9.0,Valuable Thunder Spear,2,,3.0,lbs,12,1,1,5.0037,2,1,"Thrown (range 20/60), versatile (1d8)",7,2,1,1.06529526771461,0,9,
SimpleRangeWeapon,7,85,,0,0.00849999978527194,Nice Necrotic Dart,2,,0.25,lbs,6,2,0,7.9764,1,1,"Finesse, thrown (range 20/60)",7,2,2,1.29240416352823,1,,1
MartialMeleeWeapon,8,370,,2,370.0,Rare Cold Shortsword,3,,2.0,lbs,2,3,1,14.0032,2,1,"Finesse, light",7,3,2,1.474044679454,2,13,
SimpleMeleeWeapon,9,25,,2,25.0,Unnaturally Sharp Necrotic Spear,3,,3.0,lbs,6,2,2,17.9276,2,1,"Thrown (range 20/60), versatile (1d8)",7,3,3,2.15801549957248,0,9,
SimpleMeleeWeapon,10,17,,2,17.0,Exceptional Thunder Sickle,2,,2.0,lbs,12,2,0,7.979,1,1,Light,11,2,2,1.29402896252162,0,8,
SimpleRangeWeapon,11,5,,0,0.000499999987368938,Regular Dart,1,,0.25,lbs,9,0,0,2.0014,1,1,"Finesse, thrown (range 20/60)",7,1,1,0.447212419295039,1,,1
MartialMeleeWeapon,12,15,,2,15.0,Not Junk Morningstar,1,,4.0,lbs,0,0,0,3.9793,3,1,-,7,3,1,0.55550295073538,2,9,
SimpleMeleeWeapon,13,125,,2,125.0,Magical Bludgeoning Javelin,3,,2.0,lbs,1,2,2,18.0613,2,1,Thrown (range 30/120),7,3,3,1.86600567442079,0,4,
MartialRangeWeapon,14,1,,2,1.0,Broken Net,0,,3.0,lbs,8,0,0,1.0,1,1,"Special, thrown (range 5/15)",,0,1,0.00816595747078663,3,,4
MartialRangeWeapon,15,330,,2,330.0,Lionized Radiant Blowgun,4,,1.0,lbs,10,2,0,7.999,0,1,"Ammunition (range 25/100), loading",7,1,3,2.52983902698139,3,,0
SimpleMeleeWeapon,16,1,,1,0.00999999977648258,Dull Club,1,,2.0,lbs,7,0,0,1.9953,1,1,Light,1,1,1,0.511509661640505,0,0,
SimpleRangeWeapon,17,5,,0,0.000499999987368938,Dull Dart,1,,0.25,lbs,8,0,0,1.9865,1,1,"Finesse, thrown (range 20/60)",7,1,1,0.572146406353236,1,,1
MartialRangeWeapon,18,10,,2,10.0,Worthless Blowgun,0,,1.0,lbs,7,0,0,1.0,0,1,"Ammunition (range 25/100), loading",7,0,1,0.00215078228766224,3,,0
MartialRangeWeapon,19,1850,,2,1850.0,Mastercrafted Lightning Longbow,3,,2.0,lbs,5,3,0,8.9738,1,1,"Ammunition (range 150/600), heavy, two-handed",7,2,2,1.68433989875652,3,,3
MartialMeleeWeapon,20,45,,2,45.0,The Bee Knees Piercing Trident,2,,4.0,lbs,7,1,1,5.0225,2,1,"Thrown (range 20/60), versatile (1d8)",7,2,1,1.06277474361301,2,14,
MartialMeleeWeapon,21,2,,2,2.0,Destroyed Whip,0,,3.0,lbs,4,0,0,1.0,1,1,"Finesse, reach",11,0,1,0.000589251229615927,2,17,
MartialRangeWeapon,22,1850,,2,1850.0,Remarkable Necrotic Heavy Crossbow,3,,18.0,lbs,6,3,0,9.0252,1,1,"Ammunition (range 100/400), heavy, loading, two-handed",7,2,2,1.40814500976715,3,,2
SimpleRangeWeapon,23,1,,1,0.00999999977648258,Dull Sling,1,,0.0,lbs,3,0,0,1.988,1,1,Ammunition (range 30/120),1,1,1,0.586336958208902,1,,3
SimpleRangeWeapon,24,9,,1,0.0899999979883432,Uncommon Bludgeoning Sling,2,,0.0,lbs,1,1,0,2.998,1,1,Ammunition (range 30/120),1,1,1,1.08462728123732,1,,3
SimpleMeleeWeapon,25,74,,1,0.739999983459711,Resonating Acid Greatclub,3,,10.0,lbs,0,3,2,19.0755,3,1,Two-handed,1,4,2,1.48830995475993,0,2,
SimpleMeleeWeapon,26,1,,2,1.0,Worthless Spear,0,,3.0,lbs,4,0,0,2.0029,2,1,"Thrown (range 20/60), versatile (1d8)",7,1,1,0.00127811122330488,0,9,
SimpleMeleeWeapon,27,33,,2,33.0,Lionized Radiant Sickle,4,,2.0,lbs,10,2,1,13.023,1,1,Light,11,2,3,2.78338411923744,0,8,
MartialMeleeWeapon,28,90,,2,90.0,Shiny Necrotic Shortsword,2,,2.0,lbs,6,1,1,5.0191,2,1,"Finesse, light",7,2,1,0.977216739053707,2,13,
SimpleRangeWeapon,29,5,,0,0.000499999987368938,Rusty Dart,0,,0.25,lbs,2,0,0,1.0,1,1,"Finesse, thrown (range 20/60)",7,0,1,0.00177466055457183,1,,1
SimpleMeleeWeapon,30,5,,2,5.0,Rusty Javelin,0,,2.0,lbs,1,0,0,2.0132,2,1,Thrown (range 30/120),7,1,1,0.00206859416210484,0,4,
MartialMeleeWeapon,31,25,,2,25.0,Regular Scimitar,1,,3.0,lbs,2,0,0,2.9969,2,1,"Finesse, light",11,2,1,0.452824329508225,2,12,
SimpleRangeWeapon,32,825,,2,825.0,Venerable Psychic Light Crossbow,4,,5.0,lbs,9,2,3,23.1005,3,1,"Ammunition (range 80/320), loading, two-handed",7,4,3,2.50503114699756,1,,0
MartialMeleeWeapon,33,990,,2,990.0,Outstanding Cold Greataxe,4,,7.0,lbs,2,2,5,42.1375,5,1,"Heavy, two-handed",11,6,3,2.06846750105272,2,3,
MartialRangeWeapon,34,2775,,2,2775.0,Resonating Necrotic One Handed Crossbow,3,,3.0,lbs,6,3,0,8.9979,1,1,"Ammunition (range 30/120), light, loading",7,2,2,1.45513289447669,3,,1
MartialMeleeWeapon,35,180,,2,180.0,Valuable Fire Halberd,2,,6.0,lbs,3,1,3,9.0119,4,1,"Heavy, reach, two-handed",11,4,1,0.948809965616346,2,5,
MartialMeleeWeapon,36,45,,2,45.0,Shiny Poison Pike,2,,18.0,lbs,8,1,3,8.9716,4,1,"Heavy, reach, two-handed",7,4,1,1.14730765146279,2,10,
MartialMeleeWeapon,37,330,,2,330.0,Venerable Force Maul,4,,10.0,lbs,4,2,2,21.9871,2,2,"Heavy, two-handed",1,3,4,2.26691948931287,2,8,
MartialMeleeWeapon,38,10,,2,10.0,Not Junk Shortsword,1,,2.0,lbs,3,0,0,2.9891,2,1,"Finesse, light",7,2,1,0.419523203648558,2,13,
MartialRangeWeapon,39,25,,2,25.0,Magic Infused Radiant Net,3,,3.0,lbs,10,2,1,13.0074,1,1,"Special, thrown (range 5/15)",,2,3,2.20193833127269,3,,4
SimpleRangeWeapon,40,25,,2,25.0,Normal Shortbow,1,,2.0,lbs,3,0,0,3.0041,2,1,"Ammunition (range 80/320), two-handed",7,2,1,0.483042256956175,1,,2
MartialRangeWeapon,41,2775,,2,2775.0,Mastercrafted Bludgeoning One Handed Crossbow,3,,3.0,lbs,1,3,0,9.0001,1,1,"Ammunition (range 30/120), light, loading",7,2,2,1.48228819158212,3,,1
SimpleMeleeWeapon,42,5,,2,5.0,Not Junk Handaxe,1,,2.0,lbs,6,0,0,3.0011,2,1,"Light, thrown (range 20/60)",11,2,1,0.470172729270088,0,3,
SimpleRangeWeapon,43,9,,1,0.0899999979883432,Sharp Acid Sling,2,,0.0,lbs,0,1,0,2.9862,1,1,Ammunition (range 30/120),1,1,1,1.06458452495359,1,,3
MartialRangeWeapon,44,850,,2,850.0,Sharp Necrotic Longbow,2,,2.0,lbs,6,2,0,7.9755,1,1,"Ammunition (range 150/600), heavy, two-handed",7,2,2,1.29435195987374,3,,3
SimpleRangeWeapon,45,5,,0,0.000499999987368938,Broken Dart,0,,0.25,lbs,6,0,0,1.0,1,1,"Finesse, thrown (range 20/60)",7,0,1,0.00420489548540885,1,,1
SimpleRangeWeapon,46,45,,0,0.00449999988632044,Nice Necrotic Dart,2,,0.25,lbs,6,1,0,2.9994,1,1,"Finesse, thrown (range 20/60)",7,1,1,1.01720905639644,1,,1
MartialMeleeWeapon,47,90,,2,90.0,Fine Acid Maul,2,,10.0,lbs,0,1,1,8.0312,2,2,"Heavy, two-handed",1,2,2,1.15064597938363,2,8,
MartialRangeWeapon,48,10,,2,10.0,Dull Blowgun,1,,1.0,lbs,8,0,0,1.0,0,1,"Ammunition (range 25/100), loading",7,0,1,0.454032881239534,3,,0
MartialRangeWeapon,49,9,,2,9.0,Shiny Cold Net,2,,3.0,lbs,2,1,0,2.9998,1,1,"Special, thrown (range 5/15)",,1,1,1.1319140759859,3,,4
MartialRangeWeapon,50,1850,,2,1850.0,Fuck Yeah this is Rare Radiant Heavy Crossbow,3,,18.0,lbs,10,3,0,9.0004,1,1,"Ammunition (range 100/400), heavy, loading, two-handed",7,2,2,1.56546376608298,3,,2
SimpleMeleeWeapon,51,2,,1,0.0199999995529652,Trash Light Hammer,0,,2.0,lbs,4,0,0,1.0,1,1,"Light, thrown (range 20/60)",1,0,1,0.00241993460985875,0,5,
SimpleMeleeWeapon,52,74,,2,74.0,Fuck Yeah this is Rare Fire Dagger,3,,1.0,lbs,3,3,0,9.0051,1,1,"Finesse, light, thrown (range 20/60)",7,2,2,1.56758328839406,0,1,
MartialRangeWeapon,53,50,,2,50.0,Broken Heavy Crossbow,0,,18.0,lbs,0,0,0,1.0,1,1,"Ammunition (range 100/400), heavy, loading, two-handed",7,0,1,0.00875094196272089,3,,2
SimpleMeleeWeapon,54,66,,2,66.0,Fabled Thunder Dagger,4,,1.0,lbs,12,2,1,13.0175,1,1,"Finesse, light, thrown (range 20/60)",7,2,3,2.84446317134304,0,1,
SimpleMeleeWeapon,55,9,,2,9.0,The Bee Knees Slashing Sickle,2,,2.0,lbs,11,1,0,2.9969,1,1,Light,11,1,1,1.15780763085522,0,8,
SimpleMeleeWeapon,56,2,,2,2.0,Dingy Dagger,0,,1.0,lbs,4,0,0,1.0,1,1,"Finesse, light, thrown (range 20/60)",7,0,1,0.000236583904496042,0,1,
MartialRangeWeapon,57,50,,2,50.0,Functional Heavy Crossbow,1,,18.0,lbs,3,0,0,2.0007,1,1,"Ammunition (range 100/400), heavy, loading, two-handed",7,1,1,0.407573668041231,3,,2
MartialRangeWeapon,58,850,,2,850.0,Sharp Force Heavy Crossbow,2,,18.0,lbs,4,2,0,7.9991,1,1,"Ammunition (range 100/400), heavy, loading, two-handed",7,2,2,1.33234165478822,3,,2
SimpleRangeWeapon,59,17,,1,0.169999996200204,The Bee Knees Bludgeoning Sling,2,,0.0,lbs,1,2,0,7.9996,1,1,Ammunition (range 30/120),1,2,2,1.22869821750046,1,,3
MartialMeleeWeapon,60,50,,2,50.0,Unexceptional Poison Flail,1,,2.0,lbs,8,1,1,6.0036,3,1,-,1,3,1,0.604021048541714,2,1,
MartialMeleeWeapon,61,135,,2,135.0,Unusual Force Warhammer,2,,2.0,lbs,4,1,2,6.9579,3,1,Versatile (1d10),1,3,1,1.01442043257029,2,16,
MartialMeleeWeapon,62,850,,2,850.0,The Bee Knees Poison Greatsword,2,,6.0,lbs,8,2,1,15.98,2,2,"Heavy, two-handed",11,3,3,1.31646669786386,2,4,
SimpleMeleeWeapon,63,1,,2,1.0,Functional Spear,1,,3.0,lbs,6,0,0,2.9768,2,1,"Thrown (range 20/60), versatile (1d8)",7,2,1,0.451321715110179,0,9,
SimpleRangeWeapon,64,425,,2,425.0,Uncommon Bludgeoning Light Crossbow,2,,5.0,lbs,1,2,2,16.0156,3,1,"Ammunition (range 80/320), loading, two-handed",7,4,2,1.26132232575564,1,,0
SimpleRangeWeapon,65,1,,1,0.00999999977648258,Trash Sling,0,,0.0,lbs,12,0,0,1.0,1,1,Ammunition (range 30/120),1,0,1,0.00130196607519201,1,,3
MartialRangeWeapon,66,850,,2,850.0,Fine Piercing Heavy Crossbow,2,,18.0,lbs,7,2,0,8.0016,1,1,"Ammunition (range 100/400), heavy, loading, two-handed",7,2,2,1.28211382096976,3,,2
SimpleMeleeWeapon,67,2,,1,0.0199999995529652,Broken Quarterstaff,0,,4.0,lbs,4,0,0,1.996,2,1,Versatile (1d8),1,1,1,0.000636222645164169,0,7,
MartialRangeWeapon,68,1875,,2,1875.0,Rare Acid One Handed Crossbow,3,,3.0,lbs,0,2,1,12.9882,1,1,"Ammunition (range 30/120), light, loading",7,2,3,1.94284029274642,3,,1
MartialRangeWeapon,69,1650,,2,1650.0,Lionized Radiant Longbow,4,,2.0,lbs,10,2,1,13.003,1,1,"Ammunition (range 150/600), heavy, two-handed",7,2,3,2.08477312368675,3,,3
MartialRangeWeapon,70,10,,2,10.0,Rusty Blowgun,0,,1.0,lbs,7,0,0,1.0,0,1,"Ammunition (range 25/100), loading",7,0,1,0.00743772800117335,3,,0
MartialMeleeWeapon,71,495,,2,495.0,Outstanding Acid Longsword,4,,3.0,lbs,0,2,3,23.0272,3,1,Versatile (1d10),11,4,3,1.81896846281282,2,7,
MartialMeleeWeapon,72,660,,2,660.0,Dominating Necrotic Glaive,4,,6.0,lbs,6,2,4,27.9546,4,1,"Heavy, reach, two-handed",11,5,3,2.02397013789317,2,2,
